AUTOMOBILE ASSEMBLER
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Universal Ins.,9.18,9.0,9.0,8.9,8.9,-0.28,3
INV. BANKS / INV. COS. / SECURITIES COS.
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AKD Securites,19.85,19.98,19.98,19.01,19.62,-0.23,"84,421"
Apna Microfin.,9.33,9.33,9.33,8.33,9.0,-0.33,"11,848"
Arif Habib Limited.,76.15,77.85,77.85,74.49,74.74,-1.41,"47,913"
Calcorp Limited,45.01,46.0,46.0,46.0,46.0,0.99,"1,100"
Cyan LimitedXD,29.03,29.83,29.85,28.86,29.8,0.77,"15,948"
Dawood Equities,9.04,9.01,9.14,8.7,9.0,-0.04,"65,403"
Dawood Law,227.90,245.0,245.0,227.59,237.99,10.09,386
DH Partners Ltd.XD,35.32,35.2,38.85,34.99,38.3,2.98,"492,036"
Engro Holdings,176.58,177.7,181.8,177.25,181.12,4.54,"3,414,491"
F. Nat.Equities,3.04,3.04,3.2,3.03,3.08,0.04,"162,388"
F.Credit & Inv,7.60,0,0,0,0,,"1,000"
First Cap.Equit,3.98,3.84,3.84,3.84,3.84,-0.14,200
First Dawood Prop,2.13,2.25,2.25,2.11,2.24,0.11,"33,270"
Imperial Limite,15.86,17.3,17.37,15.86,17.37,1.51,"1,202"
Intermarket Sec.XD,56.11,55.51,55.99,55.0,55.75,-0.36,"13,300"
Invest Bank,1.40,1.43,1.45,1.34,1.42,0.02,"474,174"
Ist.Capital Sec,1.40,1.38,1.44,1.38,1.4,,"228,621"
Jah.Sidd. Co.,16.63,16.9,17.08,16.7,16.8,0.17,"164,749"
JS Global Cap.,101.75,102.0,105.0,102.0,105.0,3.25,"4,109"
JS Investments,22.10,21.6,22.49,21.6,21.6,-0.5,"1,705"
LSE Capital Ltd.,5.00,5.19,5.25,5.11,5.13,0.13,"68,200"
LSE Fin. Services,26.61,26.99,29.27,26.99,29.27,2.66,"9,996"
LSE Ventures Ltd,9.52,9.03,10.19,9.03,10.0,0.48,"340,929"
MCB Inv MGT,93.76,91.0,103.14,91.0,103.14,9.38,"7,722"
Next Capital,8.00,7.9,7.9,7.32,7.69,-0.31,"1,045"
OLP FinancialXD,37.75,38.28,38.28,38.0,38.02,0.27,"12,280"
Pak Stock Exchange,26.80,26.81,27.4,26.67,26.9,0.1,"836,691"
Pervez Ahmed Co,1.08,1.1,1.1,1.06,1.08,,"58,231"
PIA Holding Company,16.79,16.79,16.79,16.42,16.55,-0.24,"1,937,934"
PIA Holding CompanyB,"12,457.67",13703.44,13703.44,13703.44,13703.44,1245.77,4
Sec. Inv. Bank,9.00,8.51,9.25,8.51,9.22,0.22,627
JUTE
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Crescent Jute,3.22,3.27,3.27,3.21,3.25,0.03,"20,110"
LEASING COMPANIES
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Pak Gulf Leasing,20.12,22.0,22.0,21.18,21.18,1.06,312
LEATHER & TANNERIES
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Bata (Pak) Ltd.,"1,550.00",1535.0,1550.0,1470.0,1539.0,-11.0,"1,651"
Leather Up Ltd.,28.30,27.02,30.69,27.01,27.11,-1.19,"2,201"
Pak Leather,29.56,28.96,28.96,28.96,28.96,-0.6,219
Service Global,78.08,79.0,80.94,77.8,78.0,-0.08,"1,467"
Service Ind.Ltd,"1,089.29",1112.0,1112.0,1065.0,1100.0,10.71,"3,630"
MISCELLANEOUS
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AKD Hospitality,132.26,136.98,145.49,136.0,142.78,10.52,"6,463"
AL-Khair Gadoon,44.50,48.9,48.9,48.9,48.9,4.4,1
Arpak Int.,61.60,62.0,62.0,62.0,62.0,0.4,10
